prompt,model_answer,is_hallucination,correct_answer,comment
"Для выплат строителям ""Восточного"" перечислено еще 55 млн рублей","Для выплат строителям ""Восточного"" перечислено еще 55 млн долларов",1,,synthetic_fact_mutation
Перевернувшийся в Нью-Йорке поезд почти в 3 раза превысил скорость.,Потерпевший крушение в Нью-Йорке поезд превысил скорость почти в пять раза.,1,,synthetic_fact_mutation
"Перед гибелью он якобы собирался дать Главной военной прокуратуре показания по своему делу и против своих политических противников. По заявлениям чеченских силовиков, они были вынуждены стрелять, так как Байсаров готовился взорвать гранату. Сторонники Байсарова и ряд журналистов рассматривали инцидент как запланированное убийство.","Как утверждается, он намеревался дать показания перед начальником военной прокуратуры в отношении его обвинения и политических противников до своей смерти. Чеченские силы безопасности заявили, что их заставили стрелять, поскольку &lt; &lt; Байсаров &gt; &gt; готовились взорвать гранату. Сторонники Байсарова и несколько журналистов рассматривали инцидент как запланированный по времени случай убийства.",0,,
В 2010 году Алтайский край занимал лидирующую позицию среди регионов СФО по выпуску продукции сельского хозяйства. В процентном соотношении от общего объёма по Сибирскому федеральному округу доля региона составляет 23 %.,В 2010 году провинция Альтай заняла лидирующую позицию в области производства сельскохозяйственной продукции в области СФР. В процентном отношении доля региона в общем объеме взносов составляет 23% в Сибирийском федеральном округе.,0,,
"Я пока не начала их, допиваю паксил.","Я пока не начала их, допиваю паксил.",0,,
"В Кентукки удерживают электроседы за исключением тех, у которых были совершены смертные преступления до 31 марта 1998 года и кто выбирает электроудар.","В штате Кентукки электрический стул был отменен, за исключением тех, чьи смертные преступления были совершены до 31 марта 1998 года и которые выбирают применение электрического током; заключенные, которые не выбирают применение электрического током и заключенные, которые совершили преступления после назначенной даты, казнились смертельной инъекцией.",0,,
"Там люди пишут, мол, не готовы мы платить за музыку. Ладно, если так школьник или студент пишет, ещё можно понять, но когда взрослый работающий человек, получающий деньги за свои труды, применяет ту же логику, то это, как минимум странно.","Там люди пишут, что мы готовы платить за музыку. Если бы школьник или студент писал так, всё равно было бы понятно, но если бы взрослый рабочий, получающий деньги за свой труд, привык к такой же логике, это, по крайней мере, было бы странно.",1,,synthetic_fact_mutation
В челябинской шахте при обрушении погибли два горняка.,При обрушении в челябинской шахте погибли два горняка.,0,,
"Они записывают под диктовку текст про осень, какой-то парк и собаку, и Олег старается думать о правописании и запятых, но мысли опять уносит туда, куда нельзя. Нет-нет-нет. Нельзя.
- Здесь ""о"", а не ""а"".
- Чего?
- ""Пожар"", а не ""пажар"", - шепчет рыжий.","Они записывают под диктовку текст о осне, какой-то парк и собака, и Олег старается думать о правописании и запятых, но мысли снова ведут туда, где нельзя. Не-не-не. Я не могу! - Здесь ""о"", а не ""а"". - Как тебе? - ""Пожар"", а не ""пажар"", - шепчет рыжий.",0,,
Размер средней пенсии на Украине составит менее 100 долларов.,Средняя пенсия в Украине не дотянула до 100 долларов.,0,,
"Персональная профилактика представляет собой меры предосторожности против укусов клещей в эндемичных регионах. В первую очередь это поиск и оперативное удаление клещей после посещения мест, где они могут попасть на человека. Осматривать тело для выявления клещей нужно каждые два часа.","Персональная профилактика - это меры предосторожности против укусов клеток в эндемичных регионах. В первую очередь это поиск и оперативное удаление клеток после посещения мест, где они могут попасть на человека. Следить за телом необходимо каждые два часа.",0,,
"До второй половины XIX века Царицын оставался небольшим уездным городом с населением в несколько тысяч человек, в литературе своего времени он остался только в очерках путешественников. Исключения составляют описания восстаний Пугачёва, Булавина, Разина. Со второй половины XIX века Царицын завоёвывает статус промышленного и торгового центра региона, упоминание и описание нового — купеческого и ремесленного уклада его жизни на страницах книг и газет стало появляться значительно чаще.","До третий половины XIX века Царицын оставался небольшим окружным городом с населением в несколько тысяч человек, в литературе своего времени он остался только в очерках путешественников. Исключения составляют описание восстаний Пугачева, Булавина, Разина. С второй половины XIX века Царицын завоевал статус промышленного и торгового центра региона, упоминания и описания нового купеческого и ремесленного сочинения его жизни на страницах книг и газет стали значительно чаще появляться.",1,,synthetic_fact_mutation
Истребители США перехватили три самолета в небе над Нью-Йорком.,Истребители ВВС США перехватили в небе над Нью-Йорком три самолета.,0,,
"Фиаско рынка — это такая рыночная ситуация, при которой равновесие на рынке не является эффективным по Парето, то есть механизм рыночного регулирования, невидимая рука рынка, не срабатывает. Таким образом, провалы обычно подразумевают необходимость административного регулирования экономики и экономических отношений, с целью сглаживания или устранения негативных последствий от действия рыночного механизма.","Фиаско рынка – это такая рыночная ситуация, при которой равновесие на рынке является эффективным по Парето и механизм регулирования — невидимая рука рыночной экономики, - не работает. Как правило, провалы предполагают необходимость административного регулирования экономики и экономических отношений с целью устранения негативных последствий от действия рыночного механизма.",1,,synthetic_fact_mutation
"Истинным создателем теории относительности был Эйнштейн, а не Пуанкаре, не Лоренц, не Лармор и не кто-либо другой. Иное дело — подход Эйнштейна к этой проблеме. Он взглянул на неё с принципиально новых позиций, с совершенно революционной точки зрения.","Настоящим создателем теории относительности был Эйнштейн, а не Пуанкаре, не Лоренц, не Лармор и никто другой. Есть другой вопрос - подход Эйнштейна к этой проблеме. Он взглянул на нее с принципиально новой позиции, с совершенно революционной точки зрения.",0,,
"Вот уже два года, как я жил в пансионе фрау Залевски.",В пансионе фрау Залевски я пребывал уже целых два года.,0,,
"ЦБ дополнительно докапитализирует ""Промсвязьбанк"" на 130 млрд рублей.",ЦБ докапитализирует Промсвязьбанк еще на 130 миллиардов долларов.,1,,synthetic_fact_mutation
"У этого клуба амбициозные планы на следующий год. Хочу помочь команде добиться успеха. На протяжении последних восьми месяцев я восстанавливался после тяжёлой травмы, и мне удалось победить. Понимаю, что поначалу придётся нелегко, но я не могу представить свою жизнь без футбола. Надеюсь, что впереди у меня ещё не один матч.","У клуба есть грандиозные планы на следующий год. Я хочу помочь команде добиться успеха. Последние восемь месяцев я восстанавливался от серьезной травмы, и я смог выиграть. Я знаю, что это будет трудно, но я не могу представить свою жизнь без футбола. Надеюсь, что мне предстоит больше чем один матч.",0,,
"А хорошую пенсию, видать, должна была получать. 470/12=39 с копейками в месяц, и это только накопила
Но даже при этом новости грустные","Я должна была получить хорошую пенсию. 470/12=39 с копейками в месяц, и это только накопилось Но даже при этом печальные новости",0,,
"Химическая атака как акция возмездия за сбитый российский Су-25 - теперь это преступление 2018 года официально задокументировано ОЗХО. Недаром Москва делала все, чтобы остановить расследование применения хлора в городе Саракибе. 1/6","Химическое нападение как акт возмездия за падение российского Су-25 - теперь это преступление 2015 года официально документально зафиксировано ОЗХО. В Москве она сделала всё возможное, чтобы прекратить расследование использования хлора в городе Саракиб. 1/6",1,,synthetic_fact_mutation
"НБУ отчитался: за январь-март с укр.плат.картами было 1,6 млрд операций на сумму 1,1 трлн грн.
Т.е., оборот нашей розницы за период (даже если забыть нал.з/п!) должен быть 540 млрд (1,1/2). Но Укрстат оценивает его в 318 млрд, т.е. почти в 2 раза меньше!
Представляете ""тень""?!","НБУ сообщил: за январь-март с вкр.пла.картами было 1,6 млн операций на сумму 1,1 трлн грн. То есть, оборот нашей розницы за период (даже если забыть нал.з/п!) должен быть 540 млрд (1,1/2). Но Укрстат оценивает его в 318 млрд, т.е. почти в 2 раза меньше! Представляешь тень?",1,,synthetic_fact_mutation
"Анастасия Петровна хлопотала на кухне, расставляла по вазам цветы.",На кухАнастасия Петровна расставляла в вазах цветы.,1,,synthetic_fact_mutation
"     Письмо Николушки было прочитано сотни раз, и те, которые считались достойными его слушать, должны были приходить к графине, которая не выпускала его из рук. Приходили гувернеры, няни, Митенька, некоторые знакомые, и графиня перечитывала письмо всякий раз с новым наслаждением и всякий раз открывала по этому письму новые добродетели в своем Николушке. Как странно, необычайно, радостно ей было, что сын ее — тот сын, который чуть заметно крошечными членами шевелился в ней самой двадцать лет тому назад, тот сын, за которого она ссорилась с баловником-графом, тот сын, который выучился говорить прежде: «груша», а потом «баба», что этот сын теперь там, в чужой земле, в чужой среде, мужественный воин, один, без помощи и руководства, делает там какое-то свое мужское дело. Весь всемирный вековой опыт, указывающий на то, что дети незаметным путем от колыбели делаются мужами, не существовал для графини. Возмужание ее сына в каждой поре возмужания было для нее так же необычайно, как бы и не было никогда миллионов-миллионов людей, точно так же возмужавших. Как не верилось двадцать лет тому назад, чтобы то маленькое существо, которое жило где-то там у ней под сердцем, закричало бы и стало сосать грудь и стало бы говорить, так и теперь не верилось ей, что это же существо могло быть тем сильным, храбрым мужчиной, образцом сыновей и людей, которым он был теперь, судя по этому письму.","Графиня читала письмо Николушки сотни раз, и те из них, которые считали его достойным слушаться, приходили к графине. Она не выпускала письма изо рта: она все перечитывалась с новым наслаждением в своем Николушке; по этому письму обнаруживала новые добродетели своего Николушку. Как странно, необыкновенно радостно ей было узнать что сын ее — тот самый мальчик двадцать месяцев тому назад, который говорил раньше: «груша», а потом – ""бабу"", и теперь этот воин один с оружием в руках делает там какое-то мужское дело. Всемирный вековой опыт, указывающий на то что дети незаметным путем от колыбели делаются мужьями в каждой поре возмужания был для графини непостижим. Как не верилось ей двадцать лет тому назад, чтобы то маленькое существо закричало и стало сосать грудь или говорить; как теперь она была сомневалась в том, что это же самое создание могло быть тем сильным мужчиной с храбрыми руками.",1,,synthetic_fact_mutation
"Но она сделала также ещё один шаг за пределы своих естественных границ. Если в отношении завоеваний Екатерины II у русского шовинизма были ещё некоторые извиняющие — я не хочу сказать оправдывающие — предлоги, то относительно завоеваний Александра I об этом не может быть и речи. Финляндия населена финнами и шведами, Бессарабия — румынами, Конгрессовая Польша — поляками.","Но она сделала еще один шаг за свои природные границы. Если в отношении завоеваний Екатерины II у русского шовинизма были еще некоторые извинительные предложения, я хочу сказать оправдывающих предложения, то в отношении завоеваний Александра I об этом не может быть речи. Финляндия населена финнами и шведами, Бессарабия румынами, Конгрессная Польша поляками.",1,,synthetic_fact_mutation
"Перед гибелью он якобы собирался дать Главной военной прокуратуре показания по своему делу и против своих политических противников. По заявлениям чеченских силовиков, они были вынуждены стрелять, так как Байсаров готовился взорвать гранату. Сторонники Байсарова и ряд журналистов рассматривали инцидент как запланированное убийство.","Как утверждается, он намеревался дать показания перед начальником военной прокуратуры в отношении его обвинения и политических противников до своей смерти. Чеченские силы безопасности заявили, что их заставили стрелять, поскольку &lt; &lt; Байсаров &gt; &gt; готовились взорвать гранату. Сторонники Байсарова и множество журналистов рассматривали инцидент как запланированный по времени случай убийства.",1,,synthetic_fact_mutation
"Путин никак не останавливается.

В Италии с 1 октября повышают тариф на электричество на 30%, а на газ — на 14,4%. Всё из-за рекордных цен на топливо и высоких экологических сборов, сообщает РИА Новости.","Путин не останавливается. В Италии с 1 октября повышают тарифы на электроэнергию на 30%, а на газ на 18.7%. Все это из-за высоких цен на топливо и экологических сборов, сообщает РИА Новости.",1,,synthetic_fact_mutation
"Никто, и менее всех ее мать, не мог постичь, чего ради Арманда выскочила за довольно бесцветного американца с не очень солидной работой, – но пора нам уже закончить наше рассуждение о любви.","Никто, и менее всех ее мать, понимал, почему Арманда вышла замуж за ничем не замечательного американца с не слишком надежной работой, однако нам пора заканчивать этот разговор о любви.",1,,synthetic_fact_mutation
Трамп рассчитывает на встречу с Путиным в ходе азиатского турне.,"Трамп заявил, что ожидает встречи с Путиным в ходе азиатского турне.",0,,
"Он надеялся, что их одобрят, а их автора, согласно данному Академией обещанию при отправке его за границу, произведут в экстраординарные профессора. Но месяцы сменялись месяцами, а Ломоносов всё не получал никакого назначения. В ожидании он занялся переводами статей профессора физики Крафта.","Он надеялся, что их одобрят, а их авторы, согласно данному обещанию Академии при отправке за границу, будут произведены в экстраординарные профессора. Но месяцы менялись месяцами, а Ломоносов не получил никакого назначения. В ожидании он занялся переводом статей профессора физики Крафта.",0,,
"Всего в городе на 1 февраля 2014 года, включая ночные, насчитывается 32 трамвайных маршрута, 200 автобусных и 3 линии метро, на которых работают 971 трамвай, 1300 автобусов и 202 вагона метро. Помимо этого, в городе есть фуникулёр, поднимающий туристов на Петршинский холм, и шесть паромных переправ через Влтаву.","В городе на 1 февраля 2014 года действует 32 трамвайных маршрута, 200 автобусных и 3 линии метро. В городе есть фуникулер, который поднимает туристов на Петршинский холм и шесть паромных переправ через реку.",0,,
"Несмотря на все последствия от коронавируса, по слухам Apple все еще планирует анонс и запуск «iPhone SE2» в первой половине 2020. Я ставлю прям на март.","Несмотря на все последствия коронавируса, Apple, как сообщается, планирует выпустить «iPhone SE2» в первой полови2020 года. Я поставил прямо на март.",1,,synthetic_fact_mutation
"Убийство Шакура является предметом острого обсуждения, поскольку до сих пор полиции не удалось его раскрыть. Андерсон, желая отомстить, организовал встречу банды, на которой было принято решение убить Шакура, а также немного заработать. Как дальше шли эти выплаты — неизвестно.","Убийство Шакуры является предметом острых обсуждений, так как полиция до сих пор смогла раскрыть его. Андерсон, желая отмстить, организовал встречу банды, на которой было принято решение убить Шакура, а также немного заработать. Где они идут?",1,,synthetic_fact_mutation
"Число жертв отравления контрафактным алкоголем в Чехии увеличилось до 28 человек. Власти сообщают, что из оборота изъята еще не вся некачественная продукция, поэтому опасность отравления сохраняется. Задержанный по подозрению в изготовлении смертельного спиртного сразу признал свою вину, его сообщник не найден.","В Чехии зафиксированы 28 жертв отравления контрафактным алкоголем. Задержанный по подозрению в изготовлении смертельного спиртного признал свою вину, его сообщник не найден.",0,,
"Там на Госзакупках еще не появился запрос котировки: ""Имодиум! В Кремль! Срочно!""?","Там на Госзакупках еще появился запрос котировки: ""Имодиум! В Кремль! Срочно!""?",1,,synthetic_fact_mutation
Премьер Чехии разводится после 25 лет брака.,Премьер-министр Чехии подал на развод после 25 лет брака.,0,,
"Европейский вещательный союз внёс корректировки в регламент конкурса. По новым правилам, страны-участницы не имеют право выдвигать исполнителей или делегатов, которым запрещен въезд в страну-хозяйку. Также телеканал-организатор обязан организовать выступление всех конкурсантов вживую на сцене.","Европейский вещательный союз внёс корректировки в регламент конкурса. Согласно новым правилам страны-участницы имеют права выдвигать исполнителей или делегатов, которым запрещен въезд в хозяйствующую страну. Также телеканал-организатор обязан организовать выступление всех участников конкурса в живой форме на сцене.",1,,synthetic_fact_mutation
Взрывы и выстрелы были слышны ночью на окраинах Донецка и Горловки,Жители Донецка и Горловки ночью слышали взрывы и выстрелы,0,,
"Обыкновенные лицемеры прикидываются голубями, а политические и литературные — орлами. Но не смущайтесь их орлиным видом. Это не орлы, а крысы или собаки.

Чехов. Из записной книжки.","Обычные лицемеры прикрываются голубями, а политические и литературные - орлами. Но смущайтесь своими взглядами. Это не орлы, а крысы или собаки. Чехов. Из записной книги.",1,,synthetic_fact_mutation
Мэром Нью-Йорка избран демократ Билл де Блазио.,Мэром Нью-Йорка стал демократ Билл де Блазио.,0,,
"Организатор драки на Хованском кладбище Юрий Чабуев приговорен к 11 годам колонии строгого режима. Еще несколько фигурантов уголовного дела получили от 3,5 до 11,5 лет лишения свободы. Массовые беспорядки на столичном кладбище произошли в мае 2016 года — тогда погибли трое человек, еще около 30 получили ранения.","В Москве осудили организатора драк на Хованском кладбище. Еще несколько фигурантов уголовного дела получили от 2.4 до 11,5 лет лишения свободы соответственно. В мае 2016 года на столичном кладбище погибли трое человек, около 30 получили ранения.",1,,synthetic_fact_mutation
"и кто мне тут кричал, что мы больше не будем закупать э/энергию у врага? 
На 22 октября назначен официальный конкурс на доступ к сечению ЛЭП между Украиной и Беларусью. Конкурс будет проводить национальный оператор электросетей НЭК ""Укрэнерго"". 
Беларуссия - это Москва.","Кто продолжал орать на меня о том, как мы больше будем покупать э/энергетику у врага? Официальный конкурс за доступ в раздел СЭП между Украиной и Беларусью запланирован на 22 октября. Конкурс будет организован национальным оператором сети NEC Ukreenergo. Беларусь - Москва.",1,,synthetic_fact_mutation
немного грущу что мне не надо идти в универ и я не смогу пощеголять в своих новых бомбически красивых брюках перед всеми,"Мне очень грустно, что мне не нужно идти в университет, и я не могу показать себя в своих новых красивых брюках на глазах у всех.",0,,
"В Минобороны России подтвердили гибель 14 августа, передает РИА Новости. Пассажиры пожарного самолета Бе-200 погибли во время ликвидации авиакатастрофы на юго-востоке Турции. По данным ""Росавиации"", на борту судна находилось пятеро российских военнослужащих и трое граждан Турции, которые помогали экипажу с обнаружением возгорания. Самолет принадлежал ВМС России, передает Известия. В четверг, 15 августа, в небе над территорией Турции разбилась аэроавиация. Известно, что самолет был принят в состав авиации ВМФ в начале 2020 года и летом того же года участвовал в главном военно-морском параде, который традиционно проводится в Санкт-Петербурге. Минобороны России уже направило свою комиссию к месту авиакатастрофы для выяснения причин произошедшего. Информация о крушении Бе-200 в Турции появилась 14 августа. Сообщается, что самолет был арендован турецкими властями у России для тушения пожаров. Самолет затонул около 15:10 по московскому времени в районе поселка Адана. Уточняется, что самолет заходил на посадку после тушения нескольких очагов природных пожаров.","В Минобороны России официально подтвердили, что все члены экипажа пожарного самолета Бе-200, который разбился на юго-востоке Турции 14 августа, погибли. Об этом сообщает РИА Новости.Отмечается, что на борту самолета находилось пятеро российских военнослужащих и трое граждан Турции, которые помогали экипажу с обнаружением возгораний.Самолет принадлежал авиации Военно-морского флота (ВМФ) Российской Федерации. Уточняется, что разбившийся борт был принят в состав авиации ВМФ в начале 2020 года и летом того же года участвовал в главном военно-морском параде, который традиционно проводится в Санкт-Петербурге.Минобороны России уже направило свою комиссию к месту авиакатастрофы для выяснения причин произошедшего.Информация о крушении Бе-200 на юго-востоке Турции появилась ранее 14 августа. Сообщалось, что самолет был арендован турецкими властями у России для тушения пожаров. Воздушное судно разбилось около 15:10 по московскому времени в районе населенного пункта Адана. Известно, что самолет заходил на посадку после тушения нескольких очагов природных пожаров.",0,,
"Власти Чили эвакуировали 1,5 тысячи человек из-за извержения вулкана","В Чили эвакуированы 1,5 тысячи человек из-за извержения вулкана",0,,
Бывший мэр Детройта осужден на 28 лет тюрьмы за коррупцию.,Бывшему мэру Детройта дали 28 лет тюрьмы за коррупцию.,0,,
"Миссии OAO послужили наглядной демонстрацией роли, которую могут играть орбитальные телескопы, и в 1968 году НАСА утвердило план строительства телескопа-рефлектора с зеркалом диаметром 3 м. Проект получил условное название LST. Запуск планировался на 1972 год.","В 2952 году миссии OAO показали, какую роль в жизни Земли играют орбитальные телескопы. Планировалось запустить ракету в 1972 году.",1,,synthetic_fact_mutation
"Подъем на биржах не будет долгим, прогнозируют аналитики. Нестабильность в Греции и политические разногласия в связи с перестановками в МВФ пугают инвесторов. Отток капитала из России, в том числе из фондов акций, продолжается.","Прогнозы аналитиков дают инвесторам покоя. Нестабильность в Греции и разногласия по поводу реформ МВФ пугают инвесторов, считают эксперты. Отток капитала из России продолжается.",1,,synthetic_fact_mutation
"Тогда ничего не получилось, и изданные синглы успеха не имели. Все предыдущие попытки британских исполнителей завоевать известность у американской публики проходили безуспешно. Неудача постигла в своё время даже Клиффа Ричарда. Эпстайн начал переговоры о концерте и телевизионном шоу.","Но ничего получилось, и синглы не имели успеха. Все предыдущие попытки британских исполнителей завоевать известность у американской публики прошли без успеха. Неудача не поразила и Клиффа Ричарда. Эпстайн начал переговоры о концерте и телевизионном шоу.",1,,synthetic_fact_mutation
Суд оправдал Васильеву в хищении акций на два миллиарда рублей,Суд оправдал Васильеву в хищении акций на два миллиарда долларов,1,,synthetic_fact_mutation
"Заказала с али вещь — продавец услал ее куда-то в Самару и там ее кому-то отдали! Я спор открыла, магазин выслал по второму разу. Вещь добралась. Добротная, декорирована хорошо, размер правильный. Советую доставку простой почтой, вернее.","После заказа на алиэкспресе в первый раз моя посылка улетела в Самару и сгинула. Я открыла спор, мвыслали еще, дошло норм, вещь качественная, размер и отделка хороши. Рекомендую доставку обычной почтой, так уверенности больше.",1,,synthetic_fact_mutation
"Далее Балабанов, изменив сложившийся почерк, снял два «лёгких» фильма по чужим сценариям: криминальную комедию «Жмурки» и мелодраму «Мне не больно». Сергей Сельянов в документальном фильме Юрия Дудя «Балабанов — гениальный русский режиссёр» рассказал, что именно он пришёл с чужими сценариями к Балабанову. До этого Балабанов снимал фильмы по своим сценариям.","Далее Балабанов, изменя сложившийся почерк, снял три фильма по чужому сценарию: криминальную комедию Жмурки  и мелодраму Мне не больно. Сергей Сельянов в документальном фильме Юрия Дудя Балабанов гениальный русский режиссёр рассказал, что именно он пришёл с чужими сценариями к Балабанову. До этого Балабанов снимал фильмы по своим сценариям.",1,,synthetic_fact_mutation
"Мбаппе начинал заниматься футболом в полупрофессиональном клубе «Бонди», выступающем в низших лигах Франции. Самый молодой дебютант в истории клуба и самый юный автор забитого гола. В своем дебютном сезоне в парижском клубе Мбаппе выиграл все три внутренних соревнования — чемпионат Франции, Кубок Франции и Кубок французской лиги.","Мбаппе начал заниматься футболом в полупрофессиональном клубе Бонди, выступавшем в нижних лигах Франции. Самый молодой дебютант в истории клуба и самый молодой автор забитого гола. В своем дебютном сезоне в парижском клубе Мбаппе выиграл все три внутренние соревнования - чемпионат Франции, Кубок Франции и Кубок французской лиги.",0,,
"В некоторых случаях он мог вычленить первый черновой набросок со следующими за ним через некоторые интервалы вариантами, изменением мелких деталей, оттачиванием сюжета, введением какой-нибудь новой гнусной ситуации, и все же каждый раз то была перелицовка версии одного и того же несуществующего рассказа.","Иногда он сразу же различал первый грубый набросок, и с ним варианты, вразрядку идущие один за другим, они менялись в мелких деталях, подчищая сюжет, добавляя новые частности, погнуснее, но всякий раз переиначивая очередной вариант все той же, иначе не существующей повести.",0,,
